reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Ἡ, ,Article,,Singular,,,,Feminine,Nominative,
0.1,ἐκκλησία, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,ἡ, ,Article,,Singular,,,,Feminine,Nominative,
0.1,παροικοῦσα, ,Verb,,Singular,Present,Participle,Active,Feminine,Nominative,
0.1,Σμύρναν, ,Noun,,Singular,,,,Feminine,Accusative,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,ἐκκλησίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,παροικούσῃ, ,Verb,,Singular,Present,Participle,Active,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,Φιλομηλίῳ, ,Noun,,Singular,,,,Neuter,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,πάσαις, ,Adjective,,Plural,,,,Feminine,Dative,
0.1,ταῖς, ,Article,,Plural,,,,Feminine,Dative,
0.1,κατὰ, ,Adposition,,,,,,,,
0.1,πάντα, ,Adjective,,Singular,,,,Masculine,Accusative,
0.1,τόπον, ,Noun,,Singular,,,,Masculine,Accusative,
0.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
0.1,ἁγίας, ,Noun,,Singular,,,,Feminine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,καθολικῆς, ,Adjective,,Singular,,,,Feminine,Genitive,
0.1,ἐκκλησίας, ,Noun,,Singular,,,,Feminine,Genitive,
0.1,παροικίαις,· ,Noun,,Plural,,,,Feminine,Dative,
0.1,ἔλεος,", ",Noun,,Singular,,,,Neuter,Genitive,
0.1,εἰρήνη, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἀγάπη, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,πατρὸς, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
0.1,πληθυνθείη,. ,Verb,Third,Singular,Aorist,Optative,Passive,,,
0.1,Ἐγράψαμεν, ,Verb,First,Plural,Aorist,Indicative,Active,,,
1.1,ὑμῖν,", ",Pronoun,Second,Plural,,,,Masculine,Dative,
1.1,ἀδελφοί,", ",Noun,,Plural,,,,Masculine,Vocative,
1.1,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
1.1,κατὰ, ,Adposition,,,,,,,,
1.1,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
1.1,μαρτυρήσαντας, ,Verb,,Plural,Aorist,Participle,Active,Masculine,Accusative,
1.1,καὶ, ,Conjunction,,,,,,,,
